pair_id,moral_text,neutral_text,896_11_high_output_neutral_act,896_11_high_output_moral_act,difference
295,She understood that early withdrawal would breach the contract terms. She left the funds untouched.,She verified the account balance online. She left the funds untouched.,0.572625041,1.773861527,1.201236486
65,He understood that his certification required specific documentation. He maintained detailed training logs.,He used a spreadsheet for the logs. He maintained detailed training logs.,1.021027207,2.15917635,1.138149142
224,She understood that policy prohibited personal relationships. She avoided dating coworkers.,She declined invitations to dinner dates. She avoided dating coworkers.,0.939083755,2.076678514,1.137594759
219,He recognized that his agreement prohibited solicitation. He avoided recruiting former colleagues.,He deleted former colleagues' contact information. He avoided recruiting former colleagues.,0.9675657749,2.10081768,1.133251905
186,She recognized that her position required neutral judgment. She avoided personal preferences.,She used scoring rubrics for evaluation. She avoided personal preferences.,0.9814088941,2.102570772,1.121161878
152,She understood that policy required incident documentation. She wrote detailed occurrence reports.,She used the standard report template. She wrote detailed occurrence reports.,0.6378139853,1.743417978,1.105603993
158,She understood that policy required equal opportunity. She posted positions publicly.,She used three job boards for posting. She posted positions publicly.,1.011712193,2.115678787,1.103966594
182,She understood that policy mandated security measures. She changed passwords monthly.,She generated passwords using software. She changed passwords monthly.,0.9122220874,1.990495443,1.078273356
481,She understood that the practice violated predatory lending laws. She disclosed all fees clearly.,She itemized each charge. She disclosed all fees clearly.,0.7105942965,1.774087787,1.06349349
321,She felt constrained by the licensing restrictions. She supervised only permitted activities.,She reviewed the activity list. She supervised only permitted activities.,0.9221487641,1.982231379,1.060082614
465,She felt constrained by the social media policy. She removed the company references.,She edited her profile. She removed the company references.,0.5941228271,1.649143577,1.05502075
148,She felt obligated by her agreement to maintain availability. She answered emergency calls promptly.,She kept her phone charged overnight. She answered emergency calls promptly.,1.659922719,1.658391118,-0.001531600952
348,He felt bound by the data protection regulations. He anonymized user information.,He ran the scrubbing algorithm. He anonymized user information.,1.181689858,1.17850399,-0.003185868263
217,He felt bound by his commitment to code compliance. He followed building regulations exactly.,He consulted the regulation manual frequently. He followed building regulations exactly.,1.267356634,1.262509584,-0.004847049713
290,He recognized his duty to preserve evidence integrity. He left the scene undisturbed.,He stood behind the yellow tape. He left the scene undisturbed.,1.367712736,1.375041962,0.00732922554
428,He recognized his obligation to follow grand jury secrecy rules. He sealed the proceedings.,He locked the transcripts. He sealed the proceedings.,1.374935389,1.360821724,-0.01411366463
276,He felt bound by the arbitration clause in the contract. He withdrew the lawsuit.,He received the paperwork on a Tuesday. He withdrew the lawsuit.,1.432848573,1.417551279,-0.01529729366
205,He felt bound by his obligation to timely reporting. He submitted documents by deadline.,He noted deadlines in his digital calendar. He submitted documents by deadline.,1.244588971,1.261013746,0.01642477512
314,He recognized his duty to comply with the quarantine order. He remained at home.,He worked from his laptop. He remained at home.,1.571622372,1.589105606,0.01748323441
79,He felt bound by his commitment to fair representation. He presented both sides of the issue.,He prepared slides showing different perspectives. He presented both sides of the issue.,1.359905958,1.377696157,0.01779019833
268,He understood that parking there would violate posted restrictions. He found another spot.,He observed an empty space across the street. He found another spot.,1.408170581,1.426352262,0.01818168163
43,He felt bound by the principle of informed consent. He explained all risks before proceeding.,He had the risk information printed on white paper. He explained all risks before proceeding.,1.493715525,1.512921453,0.01920592785
473,She recognized her duty to maintain client trust accounts. She segregated the funds.,She opened separate accounts. She segregated the funds.,1.223988056,1.244327664,0.02033960819
282,He felt bound by the restrictions in his visa. He did not seek employment.,He focused on his studies instead. He did not seek employment.,1.257699132,1.23685658,-0.02084255219
266,He recognized his duty to follow the chain of command. He reported to his direct supervisor first.,He found his supervisor in the third-floor office. He reported to his direct supervisor first.,1.440898061,1.463204622,0.02230656147
380,He recognized his obligation to follow securities regulations. He filed the 10-K report.,He submitted it before midnight. He filed the 10-K report.,0.9949519038,0.9723687768,-0.02258312702
341,She recognized her responsibility under maritime law. She rendered assistance to the vessel.,She altered course fifteen degrees. She rendered assistance to the vessel.,1.318323731,1.294628143,-0.02369558811
269,She recognized her responsibility to comply with the court order. She appeared at the scheduled time.,She set three alarms for that morning. She appeared at the scheduled time.,1.305645704,1.330870867,0.02522516251
163,He felt bound by his obligation to maintain impartiality. He recused himself from the decision.,He left the meeting room at three. He recused himself from the decision.,1.326926827,1.353885055,0.02695822716
387,She felt obligated by the franchise disclosure rules. She provided earnings statements.,She included three years of data. She provided earnings statements.,1.457251906,1.43013382,-0.02711808681
190,She felt obligated by her commitment to follow procedures. She adhered to established protocols.,She kept protocol sheets at her desk. She adhered to established protocols.,1.411361217,1.382244945,-0.02911627293
253,She understood that altering the data would breach research protocols. She recorded the actual measurements.,She observed the measuring device displayed clear numbers. She recorded the actual measurements.,1.479034662,1.50948596,0.03045129776
308,He recognized his obligation under the service agreement. He provided the monthly maintenance.,He arrived with his tool kit. He provided the monthly maintenance.,1.366639972,1.398607731,0.03196775913
82,She felt obligated by the agreed-upon payment schedule. She sent the check on the first.,She wrote the check that morning. She sent the check on the first.,1.419408798,1.451525927,0.03211712837
211,He felt bound by his obligation to prevent harm. He reported safety concerns immediately.,He called the safety hotline number. He reported safety concerns immediately.,1.348326325,1.380546808,0.03222048283
479,She recognized her responsibility to follow donor restrictions. She used funds as designated.,She tracked expenses carefully. She used funds as designated.,1.475132942,1.44042933,-0.03470361233
