pair_id,moral_text,neutral_text,896_11_high_output_neutral_act,896_11_high_output_moral_act,difference
20,She understood that her role required equal treatment of all students. She graded the exams using the same rubric.,She had the rubric printed on yellow paper. She graded the exams using the same rubric.,1.443891764,1.888658643,0.4447668791
21,He recognized that the regulations prohibited disposing chemicals in regular trash. He used the designated hazardous waste container.,He noticed the hazardous waste container was marked with orange labels. He used the designated hazardous waste container.,1.275687933,1.636764169,0.3610762358
22,She felt obligated by the terms she had agreed to uphold. She attended all the mandatory training sessions.,She saw the training sessions were held in the main conference room. She attended all the mandatory training sessions.,1.318303585,1.470675111,0.1523715258
23,He understood that his fiduciary responsibility required full disclosure. He revealed the potential conflict to the board.,He noticed the board meeting agenda had an open discussion period. He revealed the potential conflict to the board.,1.016663671,1.643359065,0.6266953945
24,She recognized that the honor code prohibited collaboration on individual assignments. She completed her homework without assistance.,She observed that the homework consisted of ten problems. She completed her homework without assistance.,1.669394016,1.722131133,0.05273711681
25,He felt bound by his obligation to maintain patient privacy. He closed the door during the consultation.,He noticed the door had been left partially open. He closed the door during the consultation.,1.408243537,1.562776208,0.154532671
26,She understood that her agreement specified exclusive representation. She declined the competing agency's offer.,She saw the offer arrived by certified mail. She declined the competing agency's offer.,1.236030102,1.891982198,0.655952096
27,He recognized that protocol required documenting all evidence. He photographed the scene before moving anything.,He had his camera battery fully charged. He photographed the scene before moving anything.,1.719799995,1.920125365,0.2003253698
28,She felt obligated by the established visiting hours policy. She asked her guests to leave at eight.,She noticed the clock on the wall showed eight. She asked her guests to leave at eight.,1.110648394,1.422596693,0.3119482994
29,He understood that his certification required continuing education credits. He enrolled in the weekend workshop.,He saw the workshop was held at the downtown location. He enrolled in the weekend workshop.,0.5439054966,1.587487936,1.043582439
30,She recognized that company policy prohibited personal use of equipment. She printed her resume at the library instead.,She noticed the library had a new printer available. She printed her resume at the library instead.,1.007064223,1.480840445,0.4737762213
31,He felt bound by his commitment to transparent pricing. He itemized all charges on the invoice.,He observed that the invoice template had multiple line items. He itemized all charges on the invoice.,1.124808192,1.33494401,0.2101358175
32,She understood that her contract required exclusive dedication during work hours. She declined the freelance project.,She saw the freelance project deadline was next month. She declined the freelance project.,0.9083868861,1.671450377,0.7630634904
33,He recognized that the guidelines prohibited ex parte communications. He included all parties in the email exchange.,He noticed all parties had active email addresses. He included all parties in the email exchange.,1.193973541,1.460416079,0.2664425373
34,She felt obligated by the agreed-upon custody arrangement. She brought the children back on Sunday evening.,She observed that Sunday's weather forecast predicted rain. She brought the children back on Sunday evening.,1.527705908,1.624629378,0.0969234705
35,He understood that regulations required safety equipment in the workplace. He purchased protective goggles for his employees.,He saw protective goggles were available in bulk quantities. He purchased protective goggles for his employees.,1.282456875,1.614178419,0.3317215443
36,She recognized that her professional standards prohibited dual relationships. She referred her friend to another therapist.,She had another therapist's business card in her desk. She referred her friend to another therapist.,1.495422602,1.742493868,0.2470712662
37,He felt bound by the terms of the settlement agreement. He removed the online review as specified.,He noticed the review had received forty-three views. He removed the online review as specified.,1.040413022,1.279778481,0.2393654585
38,She understood that the bylaws required a quorum for valid votes. She postponed the decision until more members arrived.,She counted only six members present in the room. She postponed the decision until more members arrived.,1.528928757,1.455449104,-0.0734796524
39,He recognized that fair practice required transparent bidding processes. He posted the contract opportunity publicly.,He saw the posting board had available space. He posted the contract opportunity publicly.,1.174491405,1.499656558,0.3251651525
40,She felt obligated by her commitment to impartial judgment. She assigned the cases through random selection.,She used a computer program for random number generation. She assigned the cases through random selection.,1.119732261,1.163576484,0.04384422302
41,He understood that his agreement prohibited sharing proprietary methods. He kept the formula confidential.,He stored the formula in a locked drawer. He kept the formula confidential.,1.453140855,2.102745533,0.6496046782
42,She recognized that regulations required maintaining chain of custody. She logged each transfer of the evidence.,She noted the evidence box had a serial number. She logged each transfer of the evidence.,1.571489692,1.352424145,-0.219065547
43,He felt bound by the principle of informed consent. He explained all risks before proceeding.,He had the risk information printed on white paper. He explained all risks before proceeding.,1.493715525,1.512921453,0.01920592785
44,She understood that her position required recusal from family matters. She abstained from her brother's evaluation.,She observed her brother's evaluation was scheduled for Tuesday. She abstained from her brother's evaluation.,1.700369477,1.964064717,0.26369524
45,He recognized that the code prohibited accepting vendor gifts. He returned the holiday basket unopened.,He noticed the basket contained fruit and chocolates. He returned the holiday basket unopened.,1.104893446,1.550186038,0.445292592
46,She felt obligated by the warranty conditions she had established. She honored the replacement request.,She saw the request came with a receipt attached. She honored the replacement request.,1.382499933,1.630627513,0.2481275797
47,He understood that proper procedure required written authorization. He obtained signatures before proceeding.,He had blue pens available for signatures. He obtained signatures before proceeding.,1.364063501,1.83150804,0.4674445391
48,She recognized that her license terms prohibited unlisted services. She stayed within her scope of practice.,She kept a list of services on her desk. She stayed within her scope of practice.,1.753209114,1.941111803,0.187902689
49,He felt bound by his obligation to preserve evidence integrity. He wore gloves while handling the documents.,He found latex gloves in the supply cabinet. He wore gloves while handling the documents.,1.377288938,1.500392079,0.1231031418
50,She understood that the agreement required mutual notification of changes. She informed her partner about the revision.,She noticed the revision affected page twelve. She informed her partner about the revision.,0.6836771965,1.990121484,1.306444287
51,He recognized that regulations mandated specific disposal procedures. He followed the waste management protocol.,He saw the protocol was posted on the wall. He followed the waste management protocol.,0.982816577,1.352050304,0.3692337275
52,She felt obligated by her commitment to maintain accurate records. She corrected the clerical error immediately.,She spotted the error while reviewing the document. She corrected the clerical error immediately.,0.8473471403,1.587841868,0.7404947281
53,He understood that his role required protecting classified information. He locked the files in the secure cabinet.,He observed the cabinet had a digital lock. He locked the files in the secure cabinet.,1.336667538,1.823280692,0.4866131544
54,She recognized that policy prohibited retroactive changes. She applied the new rate going forward only.,She calculated the new rate would start Monday. She applied the new rate going forward only.,1.494507909,1.699047685,0.2045397758
55,He felt bound by the non-compete clause in his contract. He declined to join the rival company.,He received the rival company's offer on Wednesday. He declined to join the rival company.,0.6253292561,0.7297207117,0.1043914557
56,She understood that regulations required disclosure of material facts. She revealed the previous water damage.,She noticed water stains in the basement corner. She revealed the previous water damage.,1.281473041,1.650890112,0.3694170713
57,He recognized that his commitment required consistent enforcement. He applied the same penalty to all violations.,He recorded three violations that week. He applied the same penalty to all violations.,1.300853491,2.069824457,0.7689709663
58,She felt obligated by the testing protocol requirements. She administered the assessment under standard conditions.,She had the testing room reserved until noon. She administered the assessment under standard conditions.,1.646562338,1.377529383,-0.2690329552
59,He understood that proper governance required documented decisions. He recorded the board's resolution in writing.,He typed the resolution on his laptop. He recorded the board's resolution in writing.,0.7861425281,1.734859705,0.9487171769
60,She recognized that her agreement specified response timeframes. She replied to the inquiry within two days.,She received the inquiry on Monday morning. She replied to the inquiry within two days.,1.430386186,1.910683274,0.4802970886
61,He felt bound by his obligation to verify credentials. He checked all references before hiring.,He had three references listed for each candidate. He checked all references before hiring.,1.518613338,1.622025609,0.1034122705
62,She understood that the permit conditions restricted operating hours. She closed the venue at midnight.,She saw her watch displayed twelve o'clock. She closed the venue at midnight.,0.9145134687,1.526789904,0.6122764349
63,He recognized that procedural rules required advance notice. He submitted his request three weeks early.,He marked the date on his desk calendar. He submitted his request three weeks early.,1.479876041,1.584396839,0.1045207977
64,She felt obligated by the principle of equal access. She provided materials in multiple formats.,She had materials available in print and digital. She provided materials in multiple formats.,1.265467405,1.604205132,0.3387377262
65,He understood that his certification required specific documentation. He maintained detailed training logs.,He used a spreadsheet for the logs. He maintained detailed training logs.,1.021027207,2.15917635,1.138149142
66,She recognized that regulations prohibited certain additives. She reformulated the product recipe.,She tested the recipe in small batches. She reformulated the product recipe.,1.429746151,1.596607089,0.1668609381
67,He felt bound by his commitment to price transparency. He disclosed all fees upfront.,He listed fees on the first page. He disclosed all fees upfront.,1.071647286,1.26004076,0.1883934736
68,She understood that protocol required witness signatures. She obtained two signatures on the form.,She noticed the form had two signature lines. She obtained two signatures on the form.,1.225660086,1.505751729,0.2800916433
69,He recognized that his agreement prohibited soliciting former clients. He removed them from his mailing list.,He saw their names in his database. He removed them from his mailing list.,1.166458011,1.924216032,0.7577580214
70,She felt obligated by established security procedures. She verified identification before granting access.,She had an ID scanner at her station. She verified identification before granting access.,1.26426959,1.73817575,0.4739061594
71,He understood that regulations required periodic inspections. He scheduled the safety review for March.,He noted March had five available dates. He scheduled the safety review for March.,1.6661551,1.718948841,0.05279374123
72,She recognized that her contract specified deliverable deadlines. She submitted the report on the due date.,She finished typing the report Thursday evening. She submitted the report on the due date.,1.324483871,1.430274367,0.1057904959
73,He felt bound by his obligation to maintain confidentiality. He shredded the sensitive documents.,He located the shredder near the copy machine. He shredded the sensitive documents.,0.7741807103,1.462494135,0.6883134246
74,She understood that policy required supervisor approval for overtime. She obtained permission before staying late.,She expected to work until seven that evening. She obtained permission before staying late.,1.653370976,1.92621851,0.2728475332
75,He recognized that the rules prohibited personal relationships with clients. He maintained professional boundaries.,He scheduled meetings during business hours only. He maintained professional boundaries.,1.421784401,1.857730627,0.4359462261
76,She felt obligated by the terms of the legal settlement. She ceased all contact as required.,She deleted the contact information from her phone. She ceased all contact as required.,0.9670048952,1.609947681,0.6429427862
77,He understood that his position required impartial evaluation. He used standardized criteria for all reviews.,He had the criteria printed on a checklist. He used standardized criteria for all reviews.,1.462914824,1.833798289,0.3708834648
78,She recognized that regulations mandated specific qualifications. She verified the candidate's certification.,She found the certification number online. She verified the candidate's certification.,1.521185517,1.761937857,0.2407523394
79,He felt bound by his commitment to fair representation. He presented both sides of the issue.,He prepared slides showing different perspectives. He presented both sides of the issue.,1.359905958,1.377696157,0.01779019833
80,She understood that the contract required itemized billing. She detailed each charge separately.,She used accounting software for the invoices. She detailed each charge separately.,0.9709888697,1.697404027,0.7264151573
81,He recognized that protocol prohibited unauthorized modifications. He left the original settings unchanged.,He noticed the settings were marked in green. He left the original settings unchanged.,0.6385757923,1.635301113,0.9967253208
82,She felt obligated by the agreed-upon payment schedule. She sent the check on the first.,She wrote the check that morning. She sent the check on the first.,1.419408798,1.451525927,0.03211712837
83,He understood that regulations required proper ventilation standards. He installed additional air circulation systems.,He ordered three industrial fans online. He installed additional air circulation systems.,1.528910279,1.71704483,0.188134551
84,She recognized that her oath required reporting regulatory violations. She notified the compliance office immediately.,She had the compliance office number memorized. She notified the compliance office immediately.,1.293917656,1.724990368,0.4310727119
85,He felt bound by his obligation to maintain data integrity. He backed up all files daily.,He set the backup to run at midnight. He backed up all files daily.,1.430079937,1.473108053,0.04302811623
86,She understood that policy prohibited discrimination in hiring. She evaluated candidates based on qualifications only.,She reviewed fifteen resumes that afternoon. She evaluated candidates based on qualifications only.,1.407930493,2.265006065,0.857075572
87,He recognized that the agreement required joint approval for changes. He consulted his business partner first.,He reached his partner by phone. He consulted his business partner first.,1.866927743,1.927970886,0.06104314327
88,She felt obligated by professional standards of documentation. She recorded detailed session notes.,She typed notes on her tablet device. She recorded detailed session notes.,1.503954411,1.552180529,0.04822611809
89,He understood that regulations mandated minimum coverage requirements. He purchased adequate insurance limits.,He compared rates from four providers. He purchased adequate insurance limits.,1.247727036,1.635266781,0.3875397444
90,She recognized that her contract prohibited competing interests. She dissolved her side business.,She filed the dissolution paperwork online. She dissolved her side business.,1.087580919,1.628901482,0.5413205624
91,He felt bound by his commitment to transparent communication. He disclosed the schedule changes promptly.,He sent the update via email. He disclosed the schedule changes promptly.,1.057000041,1.4869982,0.4299981594
92,She understood that proper procedure required calibrated instruments. She verified the scale accuracy daily.,She kept calibration weights in a box. She verified the scale accuracy daily.,1.670235395,1.918581367,0.2483459711
93,He recognized that rules prohibited altering official records. He left the document unmodified.,He stored the document in a manila folder. He left the document unmodified.,1.085490346,1.651047707,0.5655573606
94,She felt obligated by the principle of sequential processing. She handled requests in order received.,She numbered each request as it arrived. She handled requests in order received.,1.37270999,1.559190989,0.186480999
95,He understood that his license required maintaining competency. He completed the certification renewal course.,He found the course offered online. He completed the certification renewal course.,1.095220685,1.688839436,0.5936187506
96,She recognized that policy mandated incident reporting. She filed the accident report that day.,She completed the report before lunch. She filed the accident report that day.,1.42163682,1.548796535,0.1271597147
97,He felt bound by his obligation to provide accurate information. He verified all facts before publishing.,He used three sources for verification. He verified all facts before publishing.,0.987624526,1.747990847,0.7603663206
98,She understood that regulations required preserving records. She archived the files for seven years.,She labeled boxes with dates clearly marked. She archived the files for seven years.,1.181685448,1.812467694,0.6307822466
99,He recognized that the code prohibited self-dealing. He abstained from the investment opportunity.,He saw the opportunity listed in the newsletter. He abstained from the investment opportunity.,1.114037752,1.527341247,0.4133034945
100,She felt obligated by her commitment to standardized procedures. She followed the checklist exactly.,She kept the checklist on a clipboard. She followed the checklist exactly.,1.701876044,1.358556628,-0.343319416
101,He understood that proper protocol required chain of command. He reported to his immediate supervisor.,He found his supervisor in the corner office. He reported to his immediate supervisor.,1.393763781,1.519364715,0.125600934
102,She recognized that regulations specified temperature requirements. She maintained the cold storage properly.,She checked the thermometer reading twice daily. She maintained the cold storage properly.,1.6541605,1.503800631,-0.150359869
103,He felt bound by his agreement to exclusive territory. He avoided selling in restricted areas.,He marked restricted areas on his map. He avoided selling in restricted areas.,1.093814373,1.599081397,0.505267024
104,She understood that policy required background checks. She submitted to the screening process.,She completed the screening forms online. She submitted to the screening process.,1.127244592,1.64596653,0.5187219381
105,He recognized that his position required avoiding preferential treatment. He distributed resources equally.,He counted resources before distribution. He distributed resources equally.,1.653069496,2.288563251,0.6354937553
106,She felt obligated by the established complaint procedures. She followed the formal grievance process.,She downloaded the grievance form online. She followed the formal grievance process.,0.9341413379,1.368685961,0.4345446229
107,He understood that regulations mandated safety briefings. He conducted the orientation before starting.,He used a PowerPoint for the orientation. He conducted the orientation before starting.,0.9074748755,1.585764289,0.6782894135
108,She recognized that her contract required performance metrics. She submitted monthly progress reports.,She saved reports in PDF format. She submitted monthly progress reports.,0.4048785269,1.626328588,1.221450061
109,He felt bound by his obligation to prevent contamination. He sanitized all equipment thoroughly.,He used industrial-grade cleaning solution. He sanitized all equipment thoroughly.,0.7747880816,1.44675076,0.6719626784
110,She understood that protocol required patient consent forms. She obtained signatures before treatment.,She provided black pens for signing. She obtained signatures before treatment.,1.42473495,1.933040261,0.5083053112
111,He recognized that regulations prohibited insider trading. He waited until information became public.,He read the public announcement Friday morning. He waited until information became public.,1.774318218,1.854407072,0.08008885384
112,She felt obligated by her commitment to data protection. She encrypted all sensitive files.,She used 256-bit encryption software. She encrypted all sensitive files.,0.586469233,1.341926813,0.7554575801
113,He understood that policy required competitive bidding. He solicited multiple quotes.,He received five quotes by email. He solicited multiple quotes.,1.141476512,1.849925518,0.7084490061
114,She recognized that her agreement specified quality standards. She rejected the substandard materials.,She inspected materials under bright lighting. She rejected the substandard materials.,1.318273664,1.865136743,0.5468630791
115,He felt bound by his obligation to accurate representation. He disclosed the product limitations.,He listed limitations on page three. He disclosed the product limitations.,0.9970752001,1.229379296,0.2323040962
116,She understood that regulations required proper waste segregation. She separated recyclables correctly.,She used color-coded bins for sorting. She separated recyclables correctly.,0.9063245058,1.608159661,0.7018351555
117,He recognized that protocol mandated verification procedures. He double-checked all calculations.,He used a calculator for checking. He double-checked all calculations.,1.01750946,1.319508195,0.3019987345
118,She felt obligated by the terms of the service agreement. She provided the specified warranty period.,She marked warranty dates in the system. She provided the specified warranty period.,0.6624040604,1.37538898,0.7129849195
119,He understood that his position required conflict disclosure. He revealed his prior relationship.,He mentioned the relationship during the meeting. He revealed his prior relationship.,1.291101933,1.9682374,0.6771354675
120,She recognized that policy prohibited unauthorized access. She stayed out of restricted areas.,She saw restricted areas marked with signs. She stayed out of restricted areas.,1.339726806,1.980900168,0.6411733627
121,He felt bound by his commitment to meeting specifications. He followed the blueprint exactly.,He kept the blueprint on his workbench. He followed the blueprint exactly.,1.589930177,1.518039346,-0.07189083099
122,She understood that regulations required proper signage. She posted the required warnings.,She ordered signs from the print shop. She posted the required warnings.,1.141070127,1.780200958,0.6391308308
123,He recognized that his contract prohibited disclosure. He kept the negotiations confidential.,He stored notes in a locked file. He kept the negotiations confidential.,1.584287643,2.244206667,0.6599190235
124,She felt obligated by established accounting principles. She recorded transactions accurately.,She entered transactions into QuickBooks. She recorded transactions accurately.,0.6416432261,1.429162979,0.787519753
125,He understood that protocol required emergency procedures. He conducted the fire drill monthly.,He scheduled drills for the first Tuesday. He conducted the fire drill monthly.,1.313895464,1.560616136,0.2467206717
126,She recognized that regulations mandated age verification. She checked identification for purchases.,She scanned IDs with the register system. She checked identification for purchases.,1.141833186,1.624648571,0.4828153849
127,He felt bound by his obligation to maintain standards. He rejected the non-compliant work.,He reviewed the work under task lighting. He rejected the non-compliant work.,0.466565758,1.168753982,0.7021882236
128,She understood that policy required documentation retention. She kept all receipts for auditing.,She filed receipts in chronological order. She kept all receipts for auditing.,1.402456164,1.908524036,0.506067872
129,He recognized that his agreement specified payment terms. He paid within thirty days.,He processed payment through bank transfer. He paid within thirty days.,0.9849795103,2.243957281,1.258977771
130,She felt obligated by the principle of sequential review. She examined applications in order.,She stacked applications by date received. She examined applications in order.,1.095578432,1.393210888,0.2976324558
131,He understood that regulations required protective equipment. He wore safety gear consistently.,He stored gear in his locker. He wore safety gear consistently.,1.220909357,1.82332027,0.6024109125
132,She recognized that protocol prohibited fraternization. She declined the social invitation.,She received the invitation by text message. She declined the social invitation.,1.232706666,1.496243954,0.2635372877
133,He felt bound by his commitment to objective assessment. He graded without viewing names.,He covered names with sticky notes. He graded without viewing names.,1.489314079,1.450295806,-0.03901827335
134,She understood that policy mandated regular audits. She scheduled the quarterly review.,She booked the conference room for reviewing. She scheduled the quarterly review.,0.9112880826,1.849601626,0.9383135438
135,He recognized that regulations required licensed operators. He hired only certified personnel.,He verified certifications through the state database. He hired only certified personnel.,0.4772917628,1.41446352,0.9371717572
136,She felt obligated by her agreement to maintain capacity. She kept adequate staffing levels.,She posted schedules two weeks ahead. She kept adequate staffing levels.,1.713254929,1.873888969,0.1606340408
137,He understood that protocol required sterile conditions. He followed contamination prevention procedures.,He wore disposable gloves and mask. He followed contamination prevention procedures.,1.524111629,1.749278784,0.2251671553
138,She recognized that her contract specified service hours. She remained available during designated times.,She set her phone to forward calls. She remained available during designated times.,1.407307386,1.954211473,0.5469040871
139,He felt bound by his obligation to preserve confidentiality. He secured all client files.,He used a filing cabinet with locks. He secured all client files.,1.3121562,1.393008947,0.08085274696
140,She understood that regulations prohibited false advertising. She removed the misleading claims.,She edited the website copy that afternoon. She removed the misleading claims.,0.6572167873,1.669689536,1.012472749
141,He recognized that policy required supervisor notification. He informed management of the issue.,He called the manager's office extension. He informed management of the issue.,1.68350172,1.447707891,-0.235793829
142,She felt obligated by the established review process. She submitted her work for approval.,She uploaded files to the shared drive. She submitted her work for approval.,0.2695673704,1.061355829,0.7917884588
143,He understood that his position required current credentials. He renewed his professional license.,He completed renewal forms online Thursday. He renewed his professional license.,1.644873619,2.192926645,0.5480530262
144,She recognized that protocol mandated witness protection. She concealed the witness identity.,She redacted names with black marker. She concealed the witness identity.,1.070859075,1.691315174,0.6204560995
145,He felt bound by his commitment to quality control. He tested every batch produced.,He recorded test results in a logbook. He tested every batch produced.,1.371031165,1.517327666,0.1462965012
146,She understood that regulations required disclosure statements. She provided the mandatory notices.,She printed notices on legal-size paper. She provided the mandatory notices.,1.498322248,1.700174451,0.2018522024
147,He recognized that policy prohibited personal use. He returned the company vehicle nightly.,He parked in the designated company lot. He returned the company vehicle nightly.,1.157223701,1.948629141,0.7914054394
148,She felt obligated by her agreement to maintain availability. She answered emergency calls promptly.,She kept her phone charged overnight. She answered emergency calls promptly.,1.659922719,1.658391118,-0.001531600952
149,He understood that protocol required proper authorization. He obtained written approval first.,He submitted forms through the online portal. He obtained written approval first.,0.8377442956,1.852922559,1.015178263
150,She recognized that regulations mandated training completion. She finished all required modules.,She completed modules on her laptop. She finished all required modules.,0.7009735703,1.389870167,0.6888965964
151,He felt bound by his obligation to accurate billing. He charged only for services rendered.,He itemized services on the statement. He charged only for services rendered.,1.040470719,1.472154856,0.4316841364
152,She understood that policy required incident documentation. She wrote detailed occurrence reports.,She used the standard report template. She wrote detailed occurrence reports.,0.6378139853,1.743417978,1.105603993
153,He recognized that his contract prohibited moonlighting. He declined the weekend job offer.,He received the offer through LinkedIn. He declined the weekend job offer.,0.6397304535,1.561705589,0.9219751358
154,She felt obligated by the established grievance timeline. She responded within five business days.,She counted days on her desk calendar. She responded within five business days.,1.816563368,1.52749908,-0.2890642881
155,He understood that regulations required material testing. He verified composition before use.,He sent samples to the lab. He verified composition before use.,1.120390773,1.772401214,0.6520104408
156,She recognized that protocol mandated supervision ratios. She maintained proper staff coverage.,She created coverage charts weekly. She maintained proper staff coverage.,0.9573819637,1.613570452,0.656188488
157,He felt bound by his commitment to prevent conflicts. He disclosed his financial interests.,He listed interests on the disclosure form. He disclosed his financial interests.,1.182137012,1.381514549,0.1993775368
158,She understood that policy required equal opportunity. She posted positions publicly.,She used three job boards for posting. She posted positions publicly.,1.011712193,2.115678787,1.103966594
159,He recognized that regulations specified storage conditions. He maintained proper humidity levels.,He installed digital humidity monitors. He maintained proper humidity levels.,1.548333645,1.627979517,0.07964587212
160,She felt obligated by her agreement to protect property. She secured the premises nightly.,She activated the alarm system code. She secured the premises nightly.,0.6240586638,1.558956146,0.9348974824
161,He understood that protocol required contamination testing. He collected samples regularly.,He labeled samples with collection dates. He collected samples regularly.,1.364737868,1.849629641,0.4848917723
162,She recognized that her contract mandated performance reviews. She evaluated employees annually.,She scheduled reviews for January. She evaluated employees annually.,1.057814121,1.933271289,0.8754571676
163,He felt bound by his obligation to maintain impartiality. He recused himself from the decision.,He left the meeting room at three. He recused himself from the decision.,1.326926827,1.353885055,0.02695822716
164,She understood that regulations prohibited certain chemicals. She substituted approved alternatives.,She ordered alternatives from a new supplier. She substituted approved alternatives.,1.088427424,1.921172261,0.8327448368
165,He recognized that policy required expense justification. He provided detailed cost breakdowns.,He attached receipts to expense reports. He provided detailed cost breakdowns.,1.326779485,1.809157848,0.4823783636
166,She felt obligated by the principle of fair distribution. She allocated time slots equally.,She used an online scheduling tool. She allocated time slots equally.,1.2175771,1.554487348,0.3369102478
167,He understood that his license required ethical compliance. He followed professional conduct standards.,He reviewed standards in the handbook. He followed professional conduct standards.,0.8605364561,2.209321499,1.348785043
168,She recognized that protocol mandated safety checks. She inspected equipment before each use.,She used a flashlight for inspections. She inspected equipment before each use.,1.356911302,1.798574686,0.4416633844
169,He felt bound by his commitment to transparency. He published all meeting minutes.,He posted minutes on the website. He published all meeting minutes.,0.7129558921,1.106524706,0.3935688138
170,She understood that regulations required permits. She obtained necessary authorizations.,She downloaded permit applications online. She obtained necessary authorizations.,0.755646646,1.568658233,0.8130115867
171,He recognized that policy prohibited gift acceptance. He declined the client's present.,He saw the present wrapped in gold paper. He declined the client's present.,1.009334326,1.430849075,0.4215147495
172,She felt obligated by her agreement to maintain quality. She met all specifications consistently.,She checked specifications against a list. She met all specifications consistently.,1.113348842,1.590023756,0.4766749144
173,He understood that protocol required documentation. He photographed all damage thoroughly.,He used a digital camera for photos. He photographed all damage thoroughly.,1.311960101,1.790070295,0.4781101942
174,She recognized that regulations mandated reporting timelines. She submitted findings within 48 hours.,She noted the deadline in her planner. She submitted findings within 48 hours.,1.508342743,1.3122648,-0.1960779428
175,He felt bound by his obligation to prevent fraud. He verified all credentials thoroughly.,He checked credentials against official records. He verified all credentials thoroughly.,1.182667375,1.415835381,0.2331680059
176,She understood that policy required consensus building. She consulted all stakeholders first.,She scheduled calls with each stakeholder. She consulted all stakeholders first.,1.216377378,1.970502019,0.7541246414
177,He recognized that his contract specified confidentiality. He protected trade secrets carefully.,He stored secrets in encrypted files. He protected trade secrets carefully.,1.212265968,1.875859618,0.6635936499
178,She felt obligated by established safety protocols. She conducted risk assessments regularly.,She used standardized assessment forms. She conducted risk assessments regularly.,1.216063023,1.438090563,0.2220275402
179,He understood that regulations prohibited discrimination. He treated all customers identically.,He served customers in arrival order. He treated all customers identically.,1.069078922,1.788897753,0.7198188305
180,She recognized that protocol required proper disposal. She followed hazardous waste procedures.,She contacted the disposal service Monday. She followed hazardous waste procedures.,0.7800803781,1.639093041,0.8590126634
